Country,Metric,Region,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Mongolia,Military Expenditure,East Asia,"$19,920,839.93 ","$18,021,861.88 ","$24,265,559.55 ","$23,124,715.31 ","$25,282,128.41 ","$24,333,211.23 ","$27,749,093.06 ","$29,797,967.23 ","$39,189,624.48 ","$56,561,859.19 ","$66,749,871.33 ","$37,633,746.00 ","$54,855,717.51 ","$87,157,848.16 ","$113,622,769.93 ","$103,464,069.87 ","$105,102,478.63 ","$101,705,865.96 ","$96,365,298.28 ","$82,755,201.79 ","$96,067,489.86 "
Taiwan,Military Expenditure,East Asia,"$9,231,574,226.34 ","$9,568,896,051.57 ","$8,800,640,512.41 ","$7,982,248,520.71 ","$7,531,453,362.26 ","$7,472,833,982.22 ","$7,833,163,784.33 ","$8,011,315,944.91 ","$7,645,015,523.65 ","$8,157,237,683.45 ","$8,960,243,678.02 ","$9,122,817,634.42 ","$9,092,345,616.59 ","$9,998,235,134.40 ","$10,496,825,825.62 ","$9,964,304,956.90 ","$9,802,436,615.08 ","$9,803,312,169.78 ","$9,663,668,976.09 ","$10,479,976,346.13 ","$10,713,677,601.64 "
Afghanistan,Military Expenditure,South Asia,. .,. .,. .,. .,. .,. .,"$125,111,557.46 ","$122,727,193.13 ","$131,346,231.27 ","$219,580,214.30 ","$240,532,594.62 ","$251,869,514.82 ","$298,146,852.52 ","$325,807,003.66 ","$238,583,385.37 ","$217,194,107.11 ","$268,227,074.24 ","$199,518,614.83 ","$185,878,310.06 ","$191,407,113.24 ","$198,086,263.32 "
Bangladesh,Military Expenditure,South Asia,"$701,585,600.35 ","$737,412,573.61 ","$740,798,160.01 ","$705,481,695.21 ","$681,816,161.72 ","$719,442,956.94 ","$770,641,160.29 ","$773,677,668.18 ","$829,682,794.84 ","$953,464,223.60 ","$1,030,020,018.24 ","$1,258,791,156.60 ","$1,624,625,085.97 ","$1,801,539,801.81 ","$1,823,425,076.38 ","$2,047,989,070.87 ","$2,355,991,524.71 ","$2,815,281,640.95 ","$3,239,738,758.47 ","$3,594,007,979.60 ","$3,894,695,211.02 "
India,Military Expenditure,South Asia,"$11,920,610,818.38 ","$13,895,562,461.39 ","$14,287,514,240.70 ","$14,600,642,346.10 ","$14,749,667,251.59 ","$16,333,986,643.28 ","$20,238,566,526.54 ","$23,072,312,925.17 ","$23,951,927,958.15 ","$28,254,773,450.06 ","$33,002,376,727.38 ","$38,722,154,392.18 ","$46,090,445,656.50 ","$49,633,815,793.70 ","$47,216,920,048.21 ","$47,403,528,801.42 ","$50,914,108,341.05 ","$51,295,483,753.94 ","$56,637,622,640.87 ","$64,559,435,280.69 ","$66,510,289,108.47 "
Nepal,Military Expenditure,South Asia,"$42,273,075.89 ","$47,484,957.37 ","$51,358,135.31 ","$64,701,738.38 ","$85,405,885.72 ","$102,934,146.21 ","$130,650,327.93 ","$159,326,023.75 ","$157,247,689.52 ","$169,575,397.12 ","$187,069,695.84 ","$209,703,501.96 ","$254,950,072.11 ","$284,518,851.06 ","$256,686,839.47 ","$281,038,425.69 ","$328,115,662.24 ","$323,797,729.64 ","$356,495,278.64 ","$404,705,219.54 ","$398,521,544.90 "
Pakistan,Military Expenditure,South Asia,"$3,218,881,738.28 ","$3,080,764,514.44 ","$2,973,072,721.92 ","$2,842,046,790.42 ","$3,273,401,893.38 ","$3,722,814,794.29 ","$4,128,195,489.37 ","$4,587,117,425.17 ","$4,969,197,611.47 ","$5,342,575,137.68 ","$5,226,678,786.50 ","$5,274,564,970.77 ","$5,974,613,176.08 ","$6,954,787,511.26 ","$7,478,971,082.03 ","$7,645,455,529.43 ","$8,654,930,761.62 ","$9,483,482,373.09 ","$9,973,768,058.78 ","$11,461,253,916.56 ","$11,375,525,626.09 "
Sri Lanka,Military Expenditure,South Asia,"$733,435,634.70 ","$631,014,150.11 ","$822,127,365.59 ","$675,016,502.02 ","$571,657,950.22 ","$541,695,589.56 ","$619,305,492.42 ","$644,211,825.11 ","$791,491,040.67 ","$1,054,816,810.25 ","$1,511,363,007.00 ","$1,522,232,372.00 ","$1,532,026,109.11 ","$1,751,910,640.80 ","$1,474,902,627.68 ","$1,600,841,410.41 ","$1,914,586,604.37 ","$2,057,866,406.97 ","$1,741,456,649.97 ","$1,866,534,438.99 ","$1,681,433,577.39 "
Brunei,Military Expenditure,South-East Asia,"$293,977,055.45 ","$258,413,177.89 ","$244,205,201.98 ","$217,667,939.19 ","$226,182,431.49 ","$243,373,245.01 ","$199,381,149.31 ","$248,588,079.79 ","$293,436,463.53 ","$323,137,150.82 ","$361,989,034.48 ","$349,759,722.80 ","$390,719,540.01 ","$415,371,528.96 ","$411,261,473.95 ","$412,094,279.75 ","$527,785,231.72 ","$424,022,039.17 ","$403,366,488.71 ","$346,706,804.42 ","$346,588,691.00 "
Cambodia,Military Expenditure,South-East Asia,"$83,323,986.09 ","$88,172,003.48 ","$81,025,841.31 ","$70,846,940.89 ","$65,182,716.10 ","$67,525,224.43 ","$69,218,798.63 ","$70,959,071.47 ","$75,881,313.59 ","$79,015,425.88 ","$82,630,723.43 ","$136,589,737.95 ","$167,857,927.99 ","$192,159,418.50 ","$217,305,727.75 ","$243,470,109.88 ","$277,969,040.25 ","$325,188,062.34 ","$382,100,547.32 ","$463,810,835.23 ","$543,205,183.27 "
Indonesia,Military Expenditure,South-East Asia,"$972,702,125.11 ","$1,135,147,005.47 ","$1,129,542,839.57 ","$919,022,697.81 ","$1,369,857,128.90 ","$2,134,746,704.32 ","$2,428,947,795.30 ","$2,146,270,791.39 ","$2,611,875,117.37 ","$3,348,758,341.54 ","$3,232,202,215.50 ","$3,304,459,138.20 ","$4,663,365,759.38 ","$5,838,026,185.72 ","$6,531,097,955.28 ","$8,384,028,600.93 ","$6,929,255,301.22 ","$7,639,095,192.97 ","$7,385,408,685.35 ","$8,178,144,376.80 ","$7,437,197,347.74 "
Laos,Military Expenditure,South-East Asia,"$33,350,210.56 ","$15,382,947.39 ","$13,717,664.60 ","$12,574,570.78 ","$11,435,617.47 ","$11,013,340.90 ","$11,496,967.52 ","$11,965,988.44 ","$13,410,565.06 ","$14,838,865.54 ","$16,267,888.96 ","$13,973,614.53 ","$15,356,402.95 ","$19,009,820.60 ","$20,327,157.66 ","$22,677,720.33 ",. .,. .,. .,. .,. .
Malaysia,Military Expenditure,South-East Asia,"$1,158,657,313.15 ","$1,663,289,473.68 ","$1,533,157,894.74 ","$1,934,473,684.21 ","$2,237,894,736.84 ","$2,881,578,947.37 ","$2,823,157,894.74 ","$3,120,337,779.14 ","$3,266,197,405.80 ","$3,970,537,327.24 ","$4,411,795,565.12 ","$3,964,817,704.64 ","$3,854,285,350.61 ","$4,692,483,660.13 ","$4,507,252,007.25 ","$4,915,722,759.46 ","$4,919,244,941.73 ","$4,532,069,852.24 ","$4,169,374,000.51 ","$3,494,832,256.87 ","$3,469,828,206.79 "
Myanmar,Military Expenditure,South-East Asia,"$5,873,097,951.18 ","$6,950,081,055.84 ","$9,030,564,408.84 ","$9,464,417,217.00 ","$11,000,356,815.94 ","$24,189,109,502.80 ","$29,853,914,082.91 ","$32,954,262,250.85 ",. .,. .,. .,. .,. .,. .,"$2,969,236,076.32 ","$2,366,989,084.91 ","$2,372,895,303.07 ","$2,552,370,441.83 ","$2,455,784,120.13 ","$2,221,961,060.23 ","$2,030,465,546.68 "
Philippines,Military Expenditure,South-East Asia,"$1,225,561,280.51 ","$1,341,016,654.30 ","$1,303,077,685.48 ","$1,122,103,991.56 ","$1,199,121,766.70 ","$1,301,286,084.06 ","$1,243,221,347.65 ","$1,372,702,435.31 ","$1,607,271,267.46 ","$2,014,371,029.11 ","$2,270,904,919.08 ","$2,115,785,124.49 ","$2,438,189,568.98 ","$2,701,492,158.26 ","$2,898,685,257.45 ","$3,377,027,861.15 ","$3,103,128,266.12 ","$3,335,552,976.96 ","$4,357,991,312.72 ","$3,755,351,173.18 ","$3,769,741,011.27 "
Singapore,Military Expenditure,South-East Asia,"$4,466,270,315.49 ","$4,493,173,880.21 ","$4,330,726,931.02 ","$4,309,127,542.25 ","$4,528,116,430.90 ","$4,723,679,527.95 ","$5,043,396,460.84 ","$5,463,830,809.90 ","$5,830,527,461.88 ","$6,518,528,962.91 ","$7,454,324,102.74 ","$7,537,761,857.95 ","$8,108,851,420.23 ","$8,922,267,805.18 ","$9,171,948,018.69 ","$9,345,680,492.29 ","$9,596,602,344.03 ","$9,383,830,669.36 ","$9,873,331,564.27 ","$10,195,721,998.90 ","$10,841,000,268.99 "
Thailand,Military Expenditure,South-East Asia,"$2,110,239,752.03 ","$2,056,847,121.55 ","$1,881,009,453.58 ","$1,724,799,637.20 ","$1,812,993,335.68 ","$1,891,520,588.36 ","$1,866,937,328.45 ","$1,984,492,828.21 ","$2,441,917,005.44 ","$3,522,634,436.33 ","$4,465,994,062.43 ","$4,799,654,667.53 ","$4,962,419,956.01 ","$5,512,983,861.18 ","$5,491,915,220.81 ","$5,901,296,947.21 ","$5,729,784,358.28 ","$5,724,812,311.09 ","$5,876,294,938.45 ","$6,305,880,241.42 ","$6,829,203,403.39 "
Timor-Leste,Military Expenditure,South-East Asia,xxx,xxx,xxx,xxx,. .,. .,. .,"$8,230,000.00 ","$17,105,000.00 ","$23,735,000.00 ","$23,651,000.00 ","$36,481,000.00 ","$26,389,000.00 ","$20,530,000.00 ","$33,388,000.00 ","$31,683,000.00 ","$29,624,000.00 ","$36,959,000.00 ","$26,217,000.00 ","$25,442,000.00 ","$20,610,000.00 "
Viet Nam,Military Expenditure,South-East Asia,. .,. .,. .,. .,. .,"$841,930,159.39 ","$915,089,546.55 ","$1,026,426,801.35 ","$1,286,528,866.71 ","$1,784,217,421.81 ","$2,137,625,596.55 ","$2,401,450,914.44 ","$2,672,286,425.01 ","$2,686,520,590.16 ","$3,360,860,380.26 ","$3,727,249,276.28 ","$4,255,721,581.24 ","$4,562,632,500.69 ","$5,017,401,787.37 ","$5,073,853,533.65 ","$5,500,000,000.00 "
Australia,Military Expenditure,Oceania,"$7,107,542,890.89 ","$7,770,250,653.25 ","$7,273,760,312.61 ","$7,043,145,895.40 ","$7,946,766,201.59 ","$9,926,649,415.34 ","$11,995,219,709.51 ","$13,237,798,498.63 ","$14,239,779,513.09 ","$17,186,440,961.62 ","$18,633,092,318.27 ","$18,960,138,513.01 ","$23,217,692,815.73 ","$26,597,198,655.34 ","$26,216,580,848.44 ","$24,825,262,588.82 ","$25,783,708,714.00 ","$24,045,569,111.02 ","$26,382,947,050.02 ","$27,691,112,416.85 ","$26,711,834,224.74 "
Fiji,Military Expenditure,Oceania,"$22,598,926.93 ","$23,811,699.72 ","$32,039,537.35 ","$32,811,655.82 ","$30,914,304.27 ","$37,296,898.08 ","$46,798,811.28 ","$43,111,350.29 ","$54,067,168.06 ","$75,576,918.30 ","$53,585,658.62 ","$51,285,722.32 ","$50,408,953.71 ","$60,785,527.47 ","$59,221,516.41 ","$58,108,276.90 ","$46,079,423.53 ","$42,418,008.45 ","$42,649,282.30 ","$45,705,790.34 ","$48,412,174.69 "
New Zealand,Military Expenditure,Oceania,"$969,356,349.52 ","$970,306,041.99 ","$858,414,919.47 ","$796,636,889.12 ","$865,788,852.97 ","$1,132,832,007.43 ","$1,285,163,189.01 ","$1,389,770,959.04 ","$1,463,950,819.03 ","$1,713,995,943.20 ","$1,661,242,821.90 ","$1,623,013,592.52 ","$1,930,748,002.28 ","$2,080,091,008.92 ","$2,094,946,041.42 ","$2,134,105,838.07 ","$2,274,148,858.51 ","$1,943,757,736.36 ","$2,093,352,062.45 ","$2,328,156,653.10 ","$2,262,928,311.88 "
Papua New Guinea,Military Expenditure,Oceania,"$49,720,532.99 ","$35,678,026.43 ","$33,606,981.63 ","$25,230,765.60 ","$17,020,861.47 ","$19,307,132.13 ","$24,421,729.44 ","$30,464,707.68 ","$31,307,966.36 ","$39,287,099.33 ","$39,332,022.27 ","$52,048,171.78 ","$46,335,624.37 ","$64,193,136.14 ","$110,623,185.28 ","$105,100,890.62 ","$112,375,527.65 ","$99,840,642.68 ","$79,051,319.31 ","$71,907,641.56 ","$60,592,819.14 "
Albania,Military Expenditure,Central Europe,"$33,638,047.44 ","$42,784,205.21 ","$45,362,503.39 ","$53,232,045.16 ","$58,649,352.50 ","$76,142,881.76 ","$100,922,358.44 ","$110,140,852.69 ","$140,983,900.66 ","$194,840,309.24 ","$255,677,957.82 ","$182,736,862.50 ","$185,893,242.00 ","$197,006,789.24 ","$183,204,695.66 ","$180,015,508.82 ","$178,120,368.03 ","$132,350,667.59 ","$130,853,162.62 ","$144,382,688.72 ","$180,488,725.12 "
Bosnia-Herzegovina,Military Expenditure,Central Europe,. .,. .,. .,. .,"$241,025,517.64 ","$202,282,838.89 ","$200,100,307.27 ","$173,304,847.65 ","$178,375,570.05 ","$195,049,685.09 ","$233,292,390.65 ","$242,471,357.85 ","$219,915,489.52 ","$211,878,260.62 ","$197,344,650.21 ","$197,617,188.83 ","$190,380,454.64 ","$162,215,681.88 ","$157,912,010.58 ","$164,638,050.32 ","$221,131,597.13 "
Bulgaria,Military Expenditure,Central Europe,"$320,389,011.34 ","$357,224,539.58 ","$351,343,204.85 ","$406,003,542.80 ","$455,950,466.54 ","$569,054,077.45 ","$650,748,201.71 ","$699,433,973.05 ","$750,992,451.60 ","$1,032,154,228.33 ","$1,038,051,932.51 ","$963,254,164.03 ","$893,467,533.96 ","$829,031,753.48 ","$807,529,319.01 ","$899,584,003.47 ","$835,716,950.63 ","$660,847,880.30 ","$755,406,457.65 ","$824,187,016.89 ","$1,095,591,046.96 "
Croatia,Military Expenditure,Central Europe,"$1,427,264,826.84 ","$1,035,949,008.26 ","$659,775,033.31 ","$629,464,103.75 ","$733,680,739.05 ","$709,399,147.20 ","$730,867,004.51 ","$799,160,901.22 ","$849,431,034.69 ","$978,853,732.10 ","$1,295,957,074.31 ","$1,129,098,496.39 ","$1,015,876,653.55 ","$1,106,464,041.98 ","$955,320,163.62 ","$956,952,644.05 ","$906,625,906.42 ","$753,544,947.72 ","$702,005,705.93 ","$784,300,763.14 ","$889,523,365.34 "
Czechia,Military Expenditure,Central Europe,"$1,166,099,773.24 ","$1,205,931,869.99 ","$1,157,294,084.73 ","$1,182,519,922.28 ","$1,494,390,396.63 ","$1,885,706,689.35 ","$2,042,085,930.63 ","$2,439,538,514.20 ","$2,449,963,709.75 ","$2,707,677,752.21 ","$2,918,695,853.37 ","$2,718,559,513.19 ","$2,497,902,954.71 ","$2,474,313,259.00 ","$2,220,610,394.59 ","$2,148,784,401.09 ","$2,022,883,295.19 ","$1,779,887,189.39 ","$1,954,935,000.05 ","$2,077,722,060.82 ","$2,710,017,583.31 "
Czechoslovakia,Military Expenditure,Central Europe,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Estonia,Military Expenditure,Central Europe,"$59,919,847.48 ","$73,800,541.32 ","$78,313,308.56 ","$93,818,539.90 ","$122,069,530.65 ","$171,411,923.86 ","$204,968,180.24 ","$265,961,745.77 ","$315,179,053.33 ","$444,197,516.00 ","$505,779,818.26 ","$434,340,865.15 ","$332,231,196.87 ","$389,237,580.89 ","$436,852,911.62 ","$479,314,460.82 ","$512,119,045.12 ","$463,568,814.46 ","$497,653,404.26 ","$537,440,226.92 ","$618,486,125.37 "
German DR,Military Expenditure,Central Europe,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Hungary,Military Expenditure,Central Europe,"$618,464,380.00 ","$702,942,491.12 ","$715,857,664.82 ","$845,055,673.85 ","$1,079,154,823.62 ","$1,401,561,253.10 ","$1,532,612,234.03 ","$1,596,087,843.15 ","$1,410,071,771.47 ","$1,776,464,117.28 ","$1,867,877,499.08 ","$1,475,818,169.24 ","$1,350,820,413.19 ","$1,472,069,831.64 ","$1,322,277,702.75 ","$1,280,050,962.25 ","$1,209,801,890.21 ","$1,132,476,291.74 ","$1,288,676,093.17 ","$1,463,013,911.22 ","$1,642,338,440.41 "
Kosovo,Military Expenditure,Central Europe,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,"$927,234.77 ","$27,227,085.63 ","$38,578,120.51 ","$50,968,863.77 ","$43,390,403.88 ","$48,597,681.23 ","$53,575,787.74 ","$49,984,164.36 ","$51,937,624.42 ","$57,262,629.27 ","$63,344,074.22 "
Latvia,Military Expenditure,Central Europe,"$42,180,166.50 ","$56,568,626.39 ","$69,990,683.36 ","$86,966,741.10 ","$147,224,840.18 ","$189,144,251.39 ","$229,353,322.50 ","$272,551,115.78 ","$367,825,490.44 ","$481,492,627.14 ","$581,752,272.93 ","$363,809,251.07 ","$259,672,124.20 ","$296,834,929.21 ","$255,740,342.59 ","$283,568,932.74 ","$295,728,965.27 ","$282,688,255.52 ","$406,859,305.39 ","$509,390,110.69 ","$679,862,611.10 "
Lithuania,Military Expenditure,Central Europe,"$138,175,000.00 ","$106,450,000.00 ","$140,400,000.00 ","$166,875,000.00 ","$181,481,441.19 ","$210,822,413.24 ","$270,841,799.76 ","$303,819,006.35 ","$351,605,788.76 ","$442,004,493.35 ","$541,390,194.65 ","$404,826,028.67 ","$326,320,918.69 ","$344,605,215.43 ","$328,631,681.61 ","$354,862,149.70 ","$426,900,271.67 ","$471,221,026.95 ","$635,448,102.41 ","$812,108,700.04 ","$1,030,416,769.94 "
Montenegro,Military Expenditure,Central Europe,xxx,xxx,xxx,xxx,xxx,xxx,xxx,"$60,811,819.13 ","$62,347,815.51 ","$64,190,474.63 ","$85,106,382.98 ","$76,683,387.91 ","$75,094,861.90 ","$79,376,663.82 ","$67,712,201.30 ","$64,836,243.08 ","$67,544,018.04 ","$56,891,427.30 ","$61,714,551.61 ","$65,734,886.38 ","$83,806,050.31 "
North Macedonia,Military Expenditure,Central Europe,"$78,991,291.13 ","$66,236,920.45 ","$69,828,947.91 ","$226,303,002.33 ","$106,309,576.72 ","$115,827,201.72 ","$135,256,294.79 ","$127,003,654.35 ","$126,008,876.72 ","$162,567,237.05 ","$172,658,158.91 ","$158,716,661.45 ","$130,021,469.11 ","$132,461,994.81 ","$119,410,402.52 ","$126,506,348.70 ","$124,185,105.68 ","$99,983,659.56 ","$101,492,863.43 ","$111,826,544.17 ","$117,383,985.53 "
Poland,Military Expenditure,Central Europe,"$3,491,022,616.10 ","$3,226,555,351.38 ","$3,146,106,712.50 ","$3,630,645,594.67 ","$3,776,173,214.41 ","$4,150,261,758.57 ","$4,778,627,749.04 ","$5,896,404,861.10 ","$6,619,413,758.88 ","$8,589,136,364.46 ","$9,349,421,394.30 ","$7,903,812,008.44 ","$8,790,170,132.33 ","$9,455,422,988.00 ","$8,986,838,792.09 ","$9,275,711,727.45 ","$10,345,153,574.87 ","$10,212,785,780.61 ","$9,164,190,586.64 ","$9,870,680,628.27 ","$11,596,155,290.59 "
Romania,Military Expenditure,Central Europe,"$1,254,227,892.71 ","$955,337,576.96 ","$935,569,610.34 ","$985,657,655.67 ","$1,056,136,062.49 ","$1,250,327,559.25 ","$1,530,183,903.96 ","$1,975,975,151.44 ","$2,251,493,424.66 ","$2,607,689,941.56 ","$3,000,404,945.09 ","$2,225,144,539.95 ","$2,086,220,460.05 ","$2,379,871,482.41 ","$2,102,886,223.40 ","$2,452,512,981.08 ","$2,691,470,287.46 ","$2,580,594,158.28 ","$2,644,159,836.09 ","$3,622,068,491.81 ","$4,608,673,549.84 "
Serbia,Military Expenditure,Central Europe,"$642,122,263.43 ","$737,469,450.76 ","$337,080,608.37 ","$494,069,226.48 ","$678,511,699.84 ","$730,567,122.92 ","$739,172,065.08 ","$629,500,942.83 ","$705,062,714.27 ","$971,570,564.64 ","$1,111,631,537.86 ","$974,288,479.24 ","$872,339,631.72 ","$986,958,193.67 ","$853,622,633.23 ","$919,809,908.30 ","$913,368,512.84 ","$724,151,880.19 ","$710,397,717.13 ","$801,700,087.19 ","$904,323,391.45 "
Slovakia,Military Expenditure,Central Europe,"$397,592,215.74 ","$327,169,170.93 ","$342,322,768.95 ","$393,996,598.32 ","$440,059,286.04 ","$624,508,454.58 ","$711,290,428.03 ","$823,313,455.45 ","$911,370,626.76 ","$1,139,194,487.75 ","$1,411,710,284.89 ","$1,350,294,439.20 ","$1,137,680,535.60 ","$1,064,842,810.57 ","$1,020,180,034.79 ","$967,923,107.87 ","$997,703,821.80 ","$985,915,492.96 ","$1,003,048,083.69 ","$1,049,074,346.91 ","$1,280,643,980.97 "
Slovenia,Military Expenditure,Central Europe,"$301,139,822.23 ","$274,841,827.85 ","$222,391,556.81 ","$271,488,790.39 ","$326,959,522.81 ","$416,906,753.68 ","$493,153,892.91 ","$514,172,799.47 ","$608,833,753.37 ","$692,654,912.56 ","$829,384,406.93 ","$798,868,642.19 ","$772,085,107.51 ","$665,679,671.37 ","$543,496,416.52 ","$506,742,932.10 ","$486,194,870.40 ","$400,771,875.35 ","$449,177,539.10 ","$473,796,757.21 ","$529,496,122.66 "
Yugoslavia,Military Expenditure,Central Europe,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Armenia,Military Expenditure,Eastern Europe,"$66,757,573.06 ","$68,234,148.57 ","$68,052,142.07 ","$66,247,626.46 ","$64,106,405.65 ","$76,587,998.89 ","$98,070,488.20 ","$140,738,102.68 ","$188,189,116.43 ","$280,108,688.34 ","$395,994,365.44 ","$359,499,343.49 ","$395,011,507.79 ","$390,871,433.90 ","$380,571,678.90 ","$444,551,859.50 ","$457,807,021.79 ","$447,379,807.51 ","$431,396,218.60 ","$443,610,413.34 ","$608,854,649.86 "
Azerbaijan,Military Expenditure,Eastern Europe,"$107,262,858.62 ","$120,262,173.97 ","$119,575,651.72 ","$131,963,660.06 ","$139,894,091.94 ","$176,552,162.31 ","$228,249,631.63 ","$304,521,477.73 ","$717,111,853.56 ","$946,599,792.10 ","$1,607,799,225.92 ","$1,472,909,976.95 ","$1,476,608,733.57 ","$3,080,084,995.81 ","$3,246,122,612.63 ","$3,367,574,161.20 ","$3,427,179,917.06 ","$2,943,396,692.69 ","$1,396,969,107.66 ","$1,528,859,592.29 ","$1,708,941,176.47 "
Belarus,Military Expenditure,Eastern Europe,"$227,586,087.29 ","$165,903,848.85 ","$140,326,204.73 ","$177,697,841.73 ","$204,364,237.38 ","$231,563,860.44 ","$314,314,017.76 ","$452,684,068.31 ","$631,831,238.11 ","$746,943,264.00 ","$883,027,522.94 ","$675,426,505.08 ","$767,699,285.88 ","$756,277,351.28 ","$817,069,894.09 ","$971,107,820.34 ","$1,010,827,013.91 ","$723,659,954.96 ","$597,207,572.12 ","$631,145,399.24 ","$715,166,688.69 "
Georgia,Military Expenditure,Eastern Europe,"$41,084,456.98 ","$25,882,678.36 ","$18,824,291.43 ","$23,829,967.87 ","$33,975,807.04 ","$42,647,402.88 ","$70,419,742.78 ","$214,071,430.15 ","$404,172,025.86 ","$931,750,564.21 ","$1,090,160,250.61 ","$603,655,214.94 ","$454,178,215.16 ","$468,779,626.84 ","$491,982,529.36 ","$441,878,926.98 ","$415,642,426.18 ","$299,514,176.28 ","$315,194,446.32 ","$308,227,183.48 ","$316,508,368.08 "
Moldova,Military Expenditure,Eastern Europe,"$10,613,141.68 ","$5,990,984.99 ","$5,090,797.96 ","$5,961,865.82 ","$6,978,372.20 ","$8,246,742.54 ","$9,378,005.95 ","$11,960,379.69 ","$16,449,497.76 ","$22,718,473.79 ","$36,845,650.50 ","$24,906,387.27 ","$18,335,718.27 ","$22,966,963.69 ","$23,870,072.82 ","$26,710,522.13 ","$27,565,618.85 ","$23,051,814.59 ","$29,656,360.86 ","$30,629,080.99 ","$33,957,719.10 "
Russia,Military Expenditure,Eastern Europe,"$7,955,730,400.99 ","$6,469,035,211.35 ","$9,228,204,143.74 ","$11,683,151,344.77 ","$13,943,825,063.40 ","$16,973,739,085.10 ","$20,955,413,570.63 ","$27,336,977,273.69 ","$34,517,781,618.92 ","$43,534,994,996.25 ","$56,183,785,393.25 ","$51,532,116,797.52 ","$58,720,227,608.76 ","$70,237,523,951.49 ","$81,469,399,931.26 ","$88,352,896,463.56 ","$84,696,504,653.50 ","$66,418,708,183.98 ","$69,245,309,460.98 ","$66,527,303,992.48 ","$61,387,546,980.44 "
Ukraine,Military Expenditure,Eastern Europe,"$1,405,161,785.48 ","$941,788,284.06 ","$1,136,716,646.17 ","$1,088,575,172.74 ","$1,176,355,737.78 ","$1,427,984,750.66 ","$1,685,034,159.40 ","$2,405,492,582.05 ","$2,986,475,247.52 ","$4,096,039,603.96 ","$4,811,019,854.88 ","$3,452,467,129.75 ","$3,729,503,858.54 ","$3,684,691,423.72 ","$4,136,888,486.22 ","$4,386,463,155.26 ","$4,033,331,370.36 ","$3,616,896,001.21 ","$3,423,286,810.51 ","$3,647,565,177.64 ","$4,750,219,044.00 "
Austria,Military Expenditure,Western Europe,"$2,159,796,003.21 ","$2,124,379,545.87 ","$1,925,557,398.19 ","$1,788,798,310.53 ","$1,881,746,741.33 ","$2,381,962,768.92 ","$2,679,282,064.65 ","$2,686,166,243.84 ","$2,640,185,362.44 ","$3,499,817,967.31 ","$3,746,731,607.28 ","$3,334,754,939.62 ","$3,218,351,224.10 ","$3,409,721,208.58 ","$3,187,227,448.75 ","$3,229,065,841.34 ","$3,305,159,256.48 ","$2,665,409,781.52 ","$2,885,947,386.10 ","$3,138,359,204.00 ","$3,367,460,382.83 "
Belgium,Military Expenditure,Western Europe,"$3,664,288,413.24 ","$3,598,447,519.62 ","$3,190,805,233.09 ","$3,036,035,471.72 ","$3,147,146,016.66 ","$3,875,697,772.32 ","$4,262,663,512.82 ","$4,228,224,643.09 ","$4,307,895,340.97 ","$5,163,979,973.67 ","$6,295,821,584.21 ","$5,620,670,062.78 ","$5,244,720,513.35 ","$5,499,370,964.27 ","$5,168,997,833.72 ","$5,263,164,882.85 ","$5,191,509,381.27 ","$4,202,062,770.32 ","$4,314,102,066.67 ","$4,484,652,582.46 ","$4,959,692,173.32 "
Cyprus,Military Expenditure,Western Europe,"$483,748,645.11 ","$289,970,366.97 ","$281,160,374.25 ","$327,627,160.29 ","$242,483,491.00 ","$288,427,605.80 ","$338,474,566.32 ","$380,875,028.85 ","$387,703,671.96 ","$405,176,368.47 ","$453,803,054.16 ","$471,352,781.09 ","$477,587,428.56 ","$479,735,318.44 ","$414,496,321.44 ","$384,925,361.05 ","$357,806,840.03 ","$327,891,760.01 ","$295,355,009.95 ","$357,380,920.83 ","$381,879,772.91 "
Denmark,Military Expenditure,Western Europe,"$2,846,065,338.17 ","$2,784,881,254.09 ","$2,392,510,831.19 ","$2,525,225,824.90 ","$2,694,082,493.21 ","$3,199,158,427.79 ","$3,578,832,460.37 ","$3,468,452,919.92 ","$3,896,730,667.69 ","$4,175,652,589.23 ","$4,788,030,120.85 ","$4,337,355,690.40 ","$4,503,492,126.71 ","$4,518,590,126.86 ","$4,422,458,083.58 ","$4,216,647,585.34 ","$4,056,861,510.68 ","$3,364,047,774.07 ","$3,592,727,943.77 ","$3,764,033,343.56 ","$4,228,194,254.02 "
